album_title,alt_title,date_kst,img_file,type
Map of the Soul: 7,Map of the Soul 7,2020-02-21,map-of-the-soul-7.jpg,studio
Map of the Soul: 7 Black Swan,Map of the Soul 7 Black Swan,2020-02-21,map-of-the-soul-7-black-swan.jpg,single
Map of the Soul: Persona,Map of the Soul Persona,2019-04-12,map-of-the-soul-persona.jpg,mini
Love Yourself 結 'Answer',Love Yourself Answer,2018-08-24,love-yourself-answer.jpg,compilation
Love Yourself 轉 'Tear',Love Yourself Tear,2018-05-18,love-yourself-tear.jpg,studio
Love Yourself 承 'Her',Love Yourself Her,2017-09-18,love-yourself-her.jpg,mini
You Never Walk Alone,You Never Walk Alone,2017-02-13,you-never-walk-alone.jpg,repackage
Wings,Wings,2016-10-10,wings.jpg,studio
花樣年華 Young Forever,The Most Beautiful Moment in Life: Young Forever,2016-05-02,hwayangyeonhwa-young-forever.jpg,compilation
花樣年華 pt.2,The Most Beautiful Moment in Life pt.2,2015-09-30,hwayangyeonhwa-pt2.jpg,mini
花樣年華 pt.1,The Most Beautiful Moment in Life pt.1,2015-04-29,hwayangyeonhwa-pt1.jpg,mini
Dark & Wild,Dark and Wild,2014-08-19,dark-and-wild.jpg,studio
Skool Luv Affair,Skool Luv Affair,2014-02-12,skool-luv-affair.jpg,mini
O!RUL82?,ORUL82,2013-09-11,orul82.jpg,mini
2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,2-cool-4-skool.jpg,mini
